backup_id,average_reward
1600000,1.76
3200000,4.26
4800000,2.1
6400000,7.02
8000000,8.74
9600000,12.5
11200000,9.6
12800000,14.78
14400000,15.36
16000000,15.94
17600000,19.26
19200000,10.78
20800000,19.18
22400000,14.88
24000000,16.04
25600000,19.4
27200000,19.16
28800000,24.24
30400000,24.4
32000000,17.86
33600000,26.32
35200000,25.78
36800000,23.3
38400000,21.72
40000000,35.74
41600000,43.6
43200000,47.92
44800000,45.44
46400000,45.02
48000000,39.22
49600000,52.34
51200000,53.48
52800000,48.9
54400000,61.06
56000000,62.84
57600000,44.8
59200000,68.96
60800000,52.02
62400000,58.68
64000000,66.18
65600000,68.52
67200000,71.24
68800000,62.06
70400000,67.68
72000000,68.66
73600000,83.02
75200000,86.62
76800000,76.52
78400000,81.74
80000000,95.82
81600000,103.76
83200000,98.22
84800000,115.22
86400000,102.02
88000000,108.54
89600000,114.68
91200000,129.9
92800000,126.6
94400000,132.38
96000000,136.98
