Training_epochs,Average_action_value
0,0
1600000,0.121
3200000,0.189
4800000,0.204
6400000,0.246
8000000,0.395
9600000,0.421
11200000,0.404
12800000,0.419
14400000,0.458
16000000,0.461
17600000,0.459
19200000,0.478
20800000,0.491
22400000,0.567
24000000,0.741
25600000,0.856
27200000,0.984
28800000,1.107
30400000,1.206
32000000,1.298
33600000,1.352
35200000,1.498
36800000,1.562
38400000,1.598
40000000,1.621
41600000,1.657
43200000,1.624
44800000,1.937
46400000,1.867
48000000,1.999
49600000,2.001
51200000,2.008
52800000,2.005
54400000,2.042
56000000,2.069
57600000,2.11
59200000,2.168
60800000,2.221
62400000,2.245
64000000,2.298
65600000,2.11
67200000,2.295
68800000,2.352
70400000,2.371
72000000,2.4
73600000,2.394
75200000,2.447
76800000,2.489
78400000,2.551
80000000,2.431
81600000,2.45
83200000,2.464
84800000,2.478
86400000,2.498
88000000,2.515
89600000,2.539
91200000,2.53
92800000,2.532
94400000,2.508
96000000,2.521
