Training_epochs,average_reward
1600000,0.132
3200000,1.753
4800000,0.679
6400000,0.739
8000000,1.862
9600000,1.368
11200000,0.851
12800000,0.54
14400000,0.744
16000000,3.49
17600000,1.26
19200000,5.912
20800000,10.641
22400000,12.957
24000000,11.749
25600000,15.446
27200000,20.873
28800000,18.163
30400000,21.333
32000000,17.386
33600000,18.49
35200000,21.441
36800000,20.273
38400000,30.27
40000000,45.864
41600000,42.599
43200000,50.358
44800000,49.711
46400000,56.64
48000000,59.58
49600000,115.791
51200000,58.934
52800000,60.16
54400000,95.344
56000000,105.829
57600000,62.001
59200000,108.808
60800000,78.488
62400000,124.777
64000000,93.836
65600000,115.734
67200000,121.731
68800000,85.769
70400000,102.528
72000000,89.623
73600000,156.305
75200000,105.72
76800000,96.285
78400000,164.51
80000000,115.159
81600000,123.636
83200000,215.907
84800000,86.857
86400000,154.451
88000000,142.97
89600000,101.924
91200000,124.876
92800000,163.568
94400000,118.694
96000000,94.191
